city,description,humidity,temp,temp_min,temp_max
Chilly-Mazarin,clear sky,35.0,287.04,285.21,287.91
Chevilly-Larue,clear sky,36.0,286.91,285.54,287.37
Cherbourg-Octeville,clear sky,71.0,282.99,282.99,283.6
Chenôve,clear sky,58.0,283.84,283.16,285.38
Chennevières-sur-Marne,clear sky,35.0,286.76,285.52,287.27
Chelles,clear sky,34.0,286.9,285.72,287.46
Chaville,clear sky,36.0,286.75,285.1,287.28
Chaumont,broken clouds,67.0,284.47,283.06,284.47
Chatou,clear sky,37.0,287.05,285.87,287.7
Châtillon,clear sky,36.0,286.7,285.34,287.17
Châtenay-Malabry,clear sky,36.0,286.66,284.96,287.14
Châtellerault,broken clouds,59.0,285.6,285.5,286.36
Château-Thierry,clear sky,52.0,284.21,284.21,284.21
Châteauroux,clear sky,62.0,285.11,285.11,285.64
Châteaudun,clear sky,45.0,285.99,284.27,286.0
Chartres,clear sky,38.0,285.77,284.29,286.49
Charleville-Mézières,clear sky,48.0,281.99,281.99,281.99
Charenton-le-Pont,clear sky,35.0,287.21,285.87,288.14
Champs-sur-Marne,clear sky,34.0,286.91,285.72,287.46
Champigny-sur-Marne,clear sky,35.0,287.19,285.92,287.67
Chambéry,broken clouds,80.0,283.01,282.46,284.19
Chamalières,overcast clouds,81.0,281.55,281.55,281.55
Chalon-sur-Saône,overcast clouds,61.0,284.94,284.94,285.92
Châlons-en-Champagne,clear sky,50.0,283.11,282.6,285.07
Challans,broken clouds,57.0,286.56,285.66,287.26
Cestas,overcast clouds,67.0,288.48,283.96,288.72
Cesson-Sévigné,clear sky,29.0,288.13,288.13,288.13
Cergy,clear sky,40.0,286.29,285.53,287.71
Cenon,overcast clouds,66.0,288.66,288.21,288.98
Cavaillon,overcast clouds,66.0,285.59,284.9,287.81
Castres,clear sky,81.0,285.97,285.05,287.27
Castelnau-le-Lez,clear sky,67.0,287.88,286.46,287.88
Carvin,clear sky,41.0,286.57,285.22,287.25
Carrières-sous-Poissy,clear sky,42.0,286.56,285.89,287.72
Carquefou,clear sky,38.0,286.43,286.01,287.19
Carpentras,light rain,76.0,283.45,283.28,283.72
Carcassonne,clear sky,77.0,286.02,285.59,286.29
Canteleu,clear sky,35.0,285.23,284.93,286.29
Cannes,clear sky,53.0,288.64,287.23,289.14
Cambrai,clear sky,58.0,285.33,284.74,286.76
Caluire-et-Cuire,overcast clouds,80.0,283.01,282.01,285.04
Calais,clear sky,80.0,284.22,282.64,286.16
Cahors,overcast clouds,85.0,284.3,284.3,284.3
Cagnes-sur-Mer,clear sky,67.0,287.7,286.52,288.98
Caen,clear sky,66.0,284.27,284.27,284.27
Cachan,clear sky,36.0,287.07,285.69,287.52
Bry-sur-Marne,clear sky,34.0,287.03,285.79,287.54
Brunoy,clear sky,31.0,287.18,286.4,287.6
Bruay-la-Buissière,clear sky,67.0,285.66,283.95,287.06
Bron,overcast clouds,79.0,283.54,282.28,285.31
Brive-la-Gaillarde,overcast clouds,26.0,285.28,283.86,285.28
Brignoles,overcast clouds,59.0,286.25,284.82,287.01
Brie-Comte-Robert,clear sky,30.0,286.77,286.21,287.42
Brétigny-sur-Orge,clear sky,36.0,286.98,285.74,287.49
Brest,clear sky,44.0,274.46,274.46,274.46
Bressuire,overcast clouds,60.0,283.29,283.29,283.29
Bourgoin,overcast clouds,85.0,282.6,281.81,284.0
Bourg-lès-Valence,broken clouds,84.0,283.26,283.23,283.76
Bourg-la-Reine,clear sky,36.0,287.08,285.73,287.56
Bourges,broken clouds,71.0,284.92,284.06,284.92
Bourg-en-Bresse,overcast clouds,67.0,284.59,284.05,284.98
Boulogne-sur-Mer,clear sky,76.0,285.19,282.6,285.59
Boulogne-Billancourt,clear sky,36.0,287.22,285.89,287.72
Bouguenais,clear sky,35.0,286.92,285.86,287.21
Bordeaux,overcast clouds,66.0,288.58,288.14,288.9
Bonneuil-sur-Marne,clear sky,35.0,287.09,285.85,287.59
Bondy,clear sky,35.0,287.02,285.73,287.56
Boissy-Saint-Léger,clear sky,34.0,286.76,285.57,287.32
Bois-Colombes,clear sky,35.0,287.18,285.94,288.2
Bobigny,clear sky,35.0,287.07,285.77,287.6
Blois,broken clouds,51.0,285.5,285.23,286.22
Blanquefort,overcast clouds,65.0,288.34,288.12,288.88
Blagnac,clear sky,85.0,284.11,282.84,285.23
Bischheim,clear sky,58.0,284.04,282.9,284.74
Biarritz,overcast clouds,83.0,283.27,282.82,284.66
Bezons,clear sky,35.0,287.07,285.88,287.71
Béziers,overcast clouds,83.0,284.78,284.15,285.13
Béthune,clear sky,67.0,286.14,284.2,287.45
Besançon,overcast clouds,37.0,282.04,280.75,282.22
Bergerac,overcast clouds,63.0,288.0,285.69,288.27
Berck,clear sky,54.0,286.14,286.14,286.21
Berck-Plage,clear sky,54.0,286.09,286.09,286.09
Belfort,overcast clouds,61.0,282.24,281.14,284.43
Bègles,overcast clouds,67.0,288.76,287.7,289.02
Beauvais,clear sky,42.0,284.93,284.61,285.68
Beaune,overcast clouds,67.0,282.94,281.95,282.94
Bayonne,overcast clouds,81.0,282.79,281.99,283.68
Bayeux,broken clouds,56.0,303.36,303.36,303.36
Bastia,broken clouds,71.0,285.33,284.83,288.04
Bar-le-Duc,clear sky,47.0,285.36,281.6,285.36
Balma,clear sky,85.0,283.97,282.71,285.75
Bagnols-sur-Cèze,clear sky,72.0,285.24,284.9,286.27
Bagnolet,clear sky,34.0,286.88,285.55,287.38
Bagneux,clear sky,36.0,286.79,285.43,287.27
Avon,overcast clouds,76.0,292.54,285.94,295.43
Avion,clear sky,41.0,285.65,284.63,286.38
Avignon,clear sky,72.0,284.97,284.72,286.09
Auxerre,broken clouds,66.0,284.06,284.06,284.06
Autun,overcast clouds,69.0,282.29,282.29,282.29
Aurillac,overcast clouds,75.0,281.86,281.86,282.05
Aulnay-sous-Bois,clear sky,34.0,287.06,285.88,287.63
Audincourt,overcast clouds,61.0,281.5,281.4,284.69
Auch,overcast clouds,91.0,285.03,283.4,286.62
Aubervilliers,clear sky,35.0,287.18,285.86,287.69
Aubagne,overcast clouds,65.0,287.12,286.28,287.92
Athis-Mons,clear sky,36.0,287.24,285.96,287.71
Asnières-sur-Seine,clear sky,35.0,287.15,285.89,287.72
Arras,clear sky,55.0,285.31,284.37,286.96
Armentières,clear sky,53.0,285.68,284.22,286.49
Arles,clear sky,67.0,286.79,285.26,288.18
Argenteuil,clear sky,35.0,287.1,285.89,287.72
Argentan,clear sky,56.0,282.02,282.02,282.02
Arcueil,clear sky,36.0,287.05,285.43,287.61
Antony,clear sky,36.0,287.07,285.37,287.55
Antibes,clear sky,60.0,287.8,286.28,288.85
Annonay,overcast clouds,84.0,281.57,280.51,281.98
Annemasse,overcast clouds,70.0,282.66,281.94,283.51
Annecy-le-Vieux,overcast clouds,71.0,282.66,281.18,282.92
Annecy,overcast clouds,71.0,282.83,281.51,283.24
Angoulême,broken clouds,62.0,284.52,283.48,285.33
Anglet,overcast clouds,83.0,283.37,282.4,284.75
Angers,few clouds,30.0,285.83,285.82,286.34
Amiens,clear sky,58.0,284.85,284.69,284.96
Allauch,overcast clouds,65.0,286.51,285.58,286.83
Alfortville,clear sky,35.0,287.23,285.9,287.73
Alès,overcast clouds,76.0,285.76,285.75,285.76
Alençon,clear sky,56.0,282.25,282.25,282.25
Albi,overcast clouds,68.0,286.01,285.43,287.43
Albertville,scattered clouds,75.0,286.74,285.73,287.96
Ajaccio,broken clouds,82.0,284.14,281.18,284.14
Aix-les-Bains,broken clouds,80.0,282.69,282.12,283.86
Aix-en-Provence,overcast clouds,72.0,286.66,286.2,286.95
Agen,clear sky,67.0,286.2,284.1,286.79
Agde,clear sky,81.0,286.73,285.87,288.07
Achères,clear sky,42.0,286.67,285.92,287.75
Abbeville,clear sky,62.0,285.66,285.64,286.2
Villeneuve-d'Ascq,clear sky,40.0,285.9,285.0,286.4
Les Ulis,clear sky,36.0,286.34,284.71,286.89
Bourgoin-Jallieu,overcast clouds,85.0,282.6,281.81,284.0
Marseille 01,,,,,
Marseille 02,,,,,
Marseille 03,,,,,
Marseille 04,overcast clouds,65.0,287.67,286.86,287.96
Marseille 05,,,,,
Marseille 06,,,,,
Marseille 07,,,,,
Marseille 08,,,,,
Marseille 10,,,,,
Marseille 09,,,,,
Marseille 11,,,,,
Marseille 12,,,,,
Marseille 13,,,,,
Marseille 14,broken clouds,66.0,287.48,286.65,287.75
Marseille 15,,,,,
Marseille 16,,,,,
La Defense,,,,,
Saint-Quentin-en-Yvelines,,,,,
Cergy-Pontoise,,,,,
