city,idx,today_o3_average,tomorrow_o3_average
Les Mureaux,3106.0,29.0,32.0
Les Lilas,5722.0,26.0,29.0
Les Herbiers,,,
Les Clayes-sous-Bois,,,
Le Puy-en-Velay,10066.0,22.0,31.0
Le Pré-Saint-Gervais,5722.0,26.0,29.0
Le Pontet,6880.0,19.0,25.0
Le Plessis-Trévise,3093.0,29.0,32.0
Le Plessis-Robinson,6937.0,25.0,28.0
Le Petit-Quevilly,10087.0,30.0,33.0
Le Perreux-sur-Marne,3102.0,28.0,31.0
Le Pecq,,,
Lens,11678.0,24.0,28.0
Le Mée-sur-Seine,3095.0,32.0,32.0
Le Mans,4994.0,33.0,32.0
Le Kremlin-Bicêtre,5722.0,26.0,29.0
Le Havre,10089.0,30.0,32.0
Le Grand-Quevilly,10087.0,30.0,33.0
Le Creusot,11948.0,29.0,22.0
Le Chesnay,,,
Le Cannet,6896.0,32.0,37.0
Le Bouscat,5054.0,29.0,31.0
Le Blanc-Mesnil,3099.0,28.0,31.0
Laxou,6364.0,34.0,33.0
La Valette-du-Var,10547.0,38.0,41.0
Laval,5428.0,7.0,4.0
Lattes,5092.0,20.0,30.0
La Teste-de-Buch,,,
La Seyne-sur-Mer,6889.0,38.0,41.0
La Roche-sur-Yon,5002.0,33.0,31.0
La Rochelle,5072.0,31.0,33.0
Laon,,,
Lannion,,,
Lanester,3149.0,23.0,33.0
Landerneau,,,
Lambersart,8613.0,23.0,27.0
La Madeleine,8613.0,23.0,27.0
Lagny-sur-Marne,3093.0,29.0,32.0
La Garenne-Colombes,3085.0,25.0,28.0
La Garde,10547.0,38.0,41.0
La Flèche,,,
La Crau,6902.0,40.0,42.0
La Courneuve,5722.0,26.0,29.0
La Ciotat,,,
La Chapelle-sur-Erdre,5004.0,34.0,30.0
La Celle-Saint-Cloud,,,
Jouy-le-Moutier,3104.0,29.0,32.0
Joué-lés-Tours,6588.0,26.0,31.0
Joinville-le-Pont,3102.0,28.0,31.0
Ivry-sur-Seine,5722.0,26.0,29.0
Istres,5047.0,20.0,28.0
Issy-les-Moulineaux,5722.0,26.0,29.0
Issoire,6418.0,,
Illzach,3823.0,26.0,28.0
Illkirch-Graffenstaden,3820.0,28.0,29.0
Hyères,6902.0,40.0,42.0
Houilles,3097.0,12.0,17.0
